institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
North Idaho College,0,2011,2011-0,4178,66845,207993,207993
Northwest Nazarene University,0,2011,2011-0,4878,82920,494114,488567
College of Southern Idaho,0,2011,2011-0,13356,213688,584428,584428
Augustana College,0,2011,2011-0,3240,64809,201029,189233
Aurora University,0,2011,2011-0,1252,30050,107015,97912
Southwestern Illinois College,0,2011,2011-0,1587,25399,247720,247720
Black Hawk College,0,2011,2011-0,982,13748,75227,75977
Blackburn College,0,2011,2011-0,1262,20192,51431,51431
Bradley University,1133,2011,2011-1133,26059,443001,2759506,2937206
Carl Sandburg College,0,2011,2011-0,1812,18121,68163,66506
Chicago State University,0,2011,2011-0,18432,202757,606476,606476
University of Chicago,0,2011,2011-0,3981,55737,205508,205508
City Colleges of Chicago-Kennedy-King College,0,2011,2011-0,2970,44551,80024,80024
City Colleges of Chicago-Malcolm X College,0,2011,2011-0,3074,46106,111921,110514
City Colleges of Chicago-Olive-Harvey College,0,2011,2011-0,1567,25075,65075,65075
CITY COLLEGES OF CHICAGO-HARRY S TRUMAN COLLEGE,0,2011,2011-0,2140,27821,65640,64365
City Colleges of Chicago-Richard J Daley College,0,2011,2011-0,513,7698,27132,27313
City Colleges of Chicago-Wilbur Wright College,0,2011,2011-0,981,11770,58313,58562
Concordia University,0,2011,2011-0,2879,57572,147072,147072
Danville Area Community College,0,2011,2011-0,1601,20815,77480,75137
DePaul University,1177,2011,2011-1177,62391,935867,6528661,6528661
College of DuPage,0,2011,2011-0,731,13893,83051,83051
Eastern Illinois University,0,2011,2011-0,12701,177810,674987,759590
Elgin Community College,0,2011,2011-0,2169,28200,46485,46485
Elmhurst College,0,2011,2011-0,1790,34011,172146,163046
Eureka College,0,2011,2011-0,1517,24275,64180,64180
