institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Northland Community and Technical College,0,2018,2018-0,1219,19501,60713,58748
University of Northwestern-St Paul,0,2018,2018-0,1628,39063,80896,77365
Oak Hills Christian College,0,2018,2018-0,731,10235,28052,27630
Rainy River Community College,0,2018,2018-0,1179,15323,34739,34739
Rochester Community and Technical College,0,2018,2018-0,1843,33170,64279,63851
St Cloud Technical and Community College,0,2018,2018-0,2573,30872,47176,47176
Saint Cloud State University,0,2018,2018-0,7944,111216,557274,705429
Saint Mary's University of Minnesota,0,2018,2018-0,3536,53044,179027,179027
St Olaf College,0,2018,2018-0,1864,27957,158525,131371
Crown College,0,2018,2018-0,1181,33080,101882,85628
The College of Saint Scholastica,0,2018,2018-0,2435,41397,154867,136859
University of St Thomas,0,2018,2018-0,2372,64032,214710,214710
St Catherine University,0,2018,2018-0,0,0,,
Southwest Minnesota State University,0,2018,2018-0,5178,72491,404687,404687
Vermilion Community College,0,2018,2018-0,864,12091,42095,42095
Ridgewater College,0,2018,2018-0,1057,14800,39097,35042
Winona State University,0,2018,2018-0,4872,68210,504284,489453
Alcorn State University,1108,2018,2018-1108,7839,109746,465614,465614
Belhaven University,0,2018,2018-0,4058,77093,220582,219746
Blue Mountain College,0,2018,2018-0,5801,92811,365831,365831
Coahoma Community College,0,2018,2018-0,2763,35917,215578,215578
Copiah-Lincoln Community College,0,2018,2018-0,1053,14744,219255,219255
Delta State University,0,2018,2018-0,7744,100670,449891,449891
East Central Community College,0,2018,2018-0,1036,16580,174612,174612
East Mississippi Community College,0,2018,2018-0,2215,31016,257965,257965
Hinds Community College,0,2018,2018-0,1669,23370,148261,148261
Holmes Community College,0,2018,2018-0,1961,29418,243214,243214
Itawamba Community College,0,2018,2018-0,1678,23485,262002,262002
Jackson State University,1238,2018,2018-1238,10254,184571,759210,759210
Jones County Junior College,0,2018,2018-0,3175,47627,267402,263474
Meridian Community College,0,2018,2018-0,1700,25507,175502,172917
Millsaps College,0,2018,2018-0,3508,56135,247529,187494
Mississippi Delta Community College,0,2018,2018-0,1326,19889,126932,126932
University of Mississippi,1279,2018,2018-1279,151796,2276937,10700408,7588764
Mississippi Valley State University,1290,2018,2018-1290,10185,193524,897175,492545
Mississippi College,0,2018,2018-0,4252,63783,550735,514012
Mississippi Gulf Coast Community College,0,2018,2018-0,1869,26170,192346,192346
Mississippi State University,1280,2018,2018-1280,84357,1434074,7572191,6563856
Northeast Mississippi Community College,0,2018,2018-0,2815,47854,278715,278715
Northwest Mississippi Community College,0,2018,2018-0,5235,83755,332025,332025
Pearl River Community College,0,2018,2018-0,2853,39936,243105,243105
Rust College,0,2018,2018-0,3861,46331,151831,151831
Southwest Mississippi Community College,0,2018,2018-0,3689,47963,256168,256168
University of Southern Mississippi,1379,2018,2018-1379,24513,416717,1835983,1835983
Tougaloo College,0,2018,2018-0,2634,42148,209512,209512
William Carey University,0,2018,2018-0,2619,136194,705012,696515
Avila University,0,2018,2018-0,1914,28704,335173,335173
Baptist Bible College,0,2018,2018-0,1227,11041,17943,17943
Calvary University,0,2018,2018-0,1095,13145,32089,28299
Central Christian College of the Bible,0,2018,2018-0,1722,22389,30770,30770
Central Methodist University-College of Liberal Arts and Sciences,0,2018,2018-0,2990,89686,616217,626211
University of Central Missouri,0,2018,2018-0,10529,189515,865613,865613
Columbia College,0,2018,2018-0,6181,86537,538687,538687
Crowder College,0,2018,2018-0,0,0,,
Culver-Stockton College,0,2018,2018-0,2075,68479,452320,452320
Drury University,0,2018,2018-0,7744,123898,798376,798376
Evangel University,0,2018,2018-0,3655,80402,496716,496716
Fontbonne University,0,2018,2018-0,2898,63760,113429,113500
Hannibal-LaGrange University,0,2018,2018-0,2166,25995,216884,216884
Harris-Stowe State University,0,2018,2018-0,2754,46826,117065,117065
Jefferson College,0,2018,2018-0,0,0,,
Lincoln University,0,2018,2018-0,4471,67069,382810,382810
Lindenwood University,0,2018,2018-0,10387,322004,835100,835100
Metropolitan Community College-Kansas City,0,2018,2018-0,3331,49968,107782,107782
Maryville University of Saint Louis,0,2018,2018-0,4707,80022,769290,714965
Mineral Area College,0,2018,2018-0,2699,40488,284118,280793
Missouri Baptist University,0,2018,2018-0,952,44738,861188,861188
Missouri Southern State University,0,2018,2018-0,8609,111911,591813,516306
Missouri Valley College,0,2018,2018-0,1218,48731,504725,476184
Missouri Western State University,0,2018,2018-0,6788,81459,593469,571238
University of Missouri-Columbia,1281,2018,2018-1281,99337,1490052,10065698,10065698
University of Missouri-Kansas City,0,2018,2018-0,32161,546731,2207560,2207560
Missouri University of Science and Technology,0,2018,2018-0,5475,82127,581968,579554
University of Missouri-St Louis,1387,2018,2018-1387,5459,81888,648882,648882
Moberly Area Community College,0,2018,2018-0,3936,59036,459342,459342
Truman State University,0,2018,2018-0,5722,97280,461918,461918
Northwest Missouri State University,0,2018,2018-0,9923,138922,1273300,1273300
Ozark Christian College,0,2018,2018-0,2346,32846,48868,48868
College of the Ozarks,0,2018,2018-0,7893,78931,289500,201055
Park University,0,2018,2018-0,2417,43507,337011,329068
Rockhurst University,0,2018,2018-0,5090,71256,515094,515094
Saint Louis University,0,2018,2018-0,58551,878259,5590746,5590746
Saint Louis Christian College,0,2018,2018-0,556,5562,9582,9582
St Louis College of Pharmacy,0,2018,2018-0,2190,21895,80696,80696
Saint Louis Community College,0,2018,2018-0,4212,54762,116355,105985
Southwest Baptist University,0,2018,2018-0,4163,74929,540933,540933
Missouri State University-West Plains,0,2018,2018-0,3448,48267,412067,412067
State Fair Community College,0,2018,2018-0,4289,55751,411518,411518
Southeast Missouri State University,0,2018,2018-0,16872,253076,1291470,1291470
Missouri State University-Springfield,0,2018,2018-0,43025,645379,2506636,2506636
Three Rivers College,0,2018,2018-0,4643,69651,410657,410657
North Central Missouri College,0,2018,2018-0,1861,27922,94221,90505
Washington University in St Louis,1449,2018,2018-1449,4905,122634,446279,415417
Webster University,0,2018,2018-0,2879,80608,197943,155916
Westminster College,0,2018,2018-0,2329,39592,137625,95723
William Jewell College,0,2018,2018-0,3940,59104,638561,618581
William Woods University,0,2018,2018-0,2606,57335,437240,432219
Carroll College,0,2018,2018-0,8014,128231,604465,604465
Dawson Community College,0,2018,2018-0,2548,43324,188437,188437
Montana State University-Billings,0,2018,2018-0,8470,110107,442180,382712
University of Great Falls,0,2018,2018-0,3295,72500,556026,515900
Little Big Horn College,0,2018,2018-0,1632,17948,61495,61495
Miles Community College,0,2018,2018-0,2855,37120,172228,174136
Montana Tech of the University of Montana,0,2018,2018-0,5877,82283,349018,349018
Montana State University,1286,2018,2018-1286,21174,381140,1883577,2017363
The University of Montana,1285,2018,2018-1285,32734,523739,1645038,1935268
Montana State University-Northern,0,2018,2018-0,3585,46605,255773,242252
Rocky Mountain College,0,2018,2018-0,4529,81522,567572,567572
Salish Kootenai College,0,2018,2018-0,2379,23787,37094,32134
The University of Montana-Western,0,2018,2018-0,4089,98141,285373,285349
Bellevue University,0,2018,2018-0,7166,100321,372324,335564
Central Community College,0,2018,2018-0,996,13945,125883,125883
Chadron State College,0,2018,2018-0,3683,66287,354883,354883
Concordia University-Nebraska,0,2018,2018-0,1803,50482,382128,316409
Creighton University,1166,2018,2018-1166,76477,1223632,7665992,7665992
Doane University-Arts & Sciences,0,2018,2018-0,1152,44910,427339,448608
Grace University,0,2018,2018-0,1452,21781,140843,140843
Hastings College,0,2018,2018-0,1180,37750,346910,346910
University of Nebraska at Kearney,0,2018,2018-0,8237,107086,530581,530581
Mid-Plains Community College,0,2018,2018-0,2756,85446,263577,263577
Midland University,0,2018,2018-0,1657,72924,589020,943233
University of Nebraska at Omaha,0,2018,2018-0,14902,238438,940790,940790
Nebraska Wesleyan University,0,2018,2018-0,2054,67793,152904,143257
University of Nebraska-Lincoln,1304,2018,2018-1304,120856,1691986,9812781,7448108
Northeast Community College,0,2018,2018-0,3456,41475,305989,305989
Peru State College,0,2018,2018-0,2938,44075,212355,199001
Southeast Community College Area,0,2018,2018-0,2456,34380,113699,112199
Union College,0,2018,2018-0,3181,34992,43652,43652
Wayne State College,0,2018,2018-0,5211,83373,470808,470808
Western Nebraska Community College,0,2018,2018-0,3444,48211,315326,259660
York College,0,2018,2018-0,1413,53694,348781,348781
University of Nevada-Las Vegas,1424,2018,2018-1424,69065,1035974,5888664,5888664
University of Nevada-Reno,1305,2018,2018-1305,54179,866860,5653559,3396777
Colby-Sawyer College,0,2018,2018-0,1766,24729,127550,127550
Dartmouth College,0,2018,2018-0,16014,256220,1325872,1325873
Franklin Pierce University,0,2018,2018-0,2718,46205,607937,594838
New England College,0,2018,2018-0,2176,32636,123705,123705
Southern New Hampshire University,0,2018,2018-0,5514,77190,707585,707585
University of New Hampshire-Main Campus,0,2018,2018-0,18947,284204,1616010,1616010
Keene State College,0,2018,2018-0,2726,49072,235770,228949
Plymouth State University,0,2018,2018-0,1502,30044,74447,74447
NHTI-Concord's Community College,0,2018,2018-0,926,15740,24602,24602
Great Bay Community College,0,2018,2018-0,823,13993,25493,25493
Rivier University,0,2018,2018-0,2152,25819,54457,54457
Saint Anselm College,0,2018,2018-0,6488,103807,752699,674136
Atlantic Cape Community College,0,2018,2018-0,980,12734,26068,26068
Bergen Community College,0,2018,2018-0,1422,19903,36427,36427
Bloomfield College,0,2018,2018-0,2840,48283,384294,384294
Brookdale Community College,0,2018,2018-0,1765,22945,33971,33971
Rowan College at Burlington County,0,2018,2018-0,1240,14882,70096,70096
Caldwell University,0,2018,2018-0,2559,38382,532356,530556
Camden County College,0,2018,2018-0,606,9095,26073,26073
Centenary University,0,2018,2018-0,1256,16329,81636,81636
County College of Morris,0,2018,2018-0,1199,11990,28667,28667
Cumberland County College,0,2018,2018-0,1511,16623,33089,33089
Drew University,0,2018,2018-0,3113,59148,146607,146607
Essex County College,0,2018,2018-0,4595,64335,137485,137485
Fairleigh Dickinson University-Metropolitan Campus,1192,2018,2018-1192,15770,220774,1641556,1641556
Felician University,0,2018,2018-0,3091,49458,361094,361094
Fairleigh Dickinson University-Florham Campus,0,2018,2018-0,3322,56466,139636,130411
Georgian Court University,0,2018,2018-0,2539,43167,543246,536506
Rowan University,0,2018,2018-0,2553,40849,293114,293114
Rowan College at Gloucester County,0,2018,2018-0,775,12400,26723,26723
New Jersey City University,0,2018,2018-0,2224,35584,114563,114563
Kean University,0,2018,2018-0,3868,38680,184514,184514
Mercer County Community College,0,2018,2018-0,1507,19594,44821,44821
Middlesex County College,0,2018,2018-0,922,11060,31474,31474
Monmouth University,1284,2018,2018-1284,25361,405769,2690690,2690690
Montclair State University,0,2018,2018-0,4795,71925,184623,173519
New Jersey Institute of Technology,0,2018,2018-0,18154,254151,1723391,1723391
Ocean County College,0,2018,2018-0,1165,15151,28661,28661
Passaic County Community College,0,2018,2018-0,1327,13271,40439,40439
Princeton University,1343,2018,2018-1343,26131,601022,1579073,1579073
Ramapo College of New Jersey,0,2018,2018-0,1848,36962,262218,257545
Rider University,0,2018,2018-0,23884,334378,2038734,2038734
Rutgers University-Camden,0,2018,2018-0,1753,28050,93932,93932
Rutgers University-New Brunswick,1353,2018,2018-1353,77067,1233070,8168723,8168723
Rutgers University-Newark,0,2018,2018-0,2901,49321,171355,169185
Saint Peter's University,1389,2018,2018-1389,24022,312290,1490850,1490850
Seton Hall University,1371,2018,2018-1371,75860,1137905,6011447,6011447
College of Saint Elizabeth,0,2018,2018-0,2598,41569,92713,92713
Raritan Valley Community College,0,2018,2018-0,1468,20557,43819,43819
Stevens Institute of Technology,0,2018,2018-0,3713,66835,202688,202688
Stockton University,0,2018,2018-0,2126,36148,274155,242007
The College of New Jersey,0,2018,2018-0,1457,24766,120426,120426
Union County College,0,2018,2018-0,1161,13937,36751,36751
William Paterson University of New Jersey,0,2018,2018-0,1930,30887,132892,129100
Eastern New Mexico University-Main Campus,0,2018,2018-0,3457,65674,375025,411764
New Mexico Highlands University,0,2018,2018-0,3467,65873,394048,394048
New Mexico Junior College,0,2018,2018-0,3932,66840,178022,178022
New Mexico Military Institute,0,2018,2018-0,5433,81488,365659,366927
University of New Mexico-Main Campus,1307,2018,2018-1307,32279,516457,4130599,4130599
New Mexico State University-Main Campus,1308,2018,2018-1308,21099,400888,2391115,2391115
Northern New Mexico College,0,2018,2018-0,1493,70159,172057,172057
University of the Southwest,0,2018,2018-0,4194,92257,309968,309968
Western New Mexico University,0,2018,2018-0,2641,39608,230584,229584
Vaughn College of Aeronautics and Technology,0,2018,2018-0,1284,20544,36408,36408
Adelphi University,0,2018,2018-0,6196,111528,733322,733322
Adirondack Community College,0,2018,2018-0,1142,15985,28304,28304
Albany College of Pharmacy and Health Sciences,0,2018,2018-0,1355,21675,36975,36975
Alfred University,0,2018,2018-0,2810,44963,154347,154347
Bard College,0,2018,2018-0,3914,54789,195633,150928
Berkeley College-New York,0,2018,2018-0,8094,129499,158999,158999
SUNY Broome Community College,0,2018,2018-0,2407,38513,54786,53543
Canisius College,0,2018,2018-0,18641,260980,1673040,1673040
Cayuga County Community College,0,2018,2018-0,1550,20154,31654,31654
Cazenovia College,0,2018,2018-0,2364,33090,45440,45440
Clarkson University,0,2018,2018-0,2396,40732,165698,165698
Clinton Community College,0,2018,2018-0,1022,14310,33440,33440
Colgate University,1159,2018,2018-1159,14526,261461,1852481,1852481
Columbia University in the City of New York,0,2018,2018-0,22456,404201,1642204,1642204
Columbia-Greene Community College,0,2018,2018-0,1632,21214,37990,38850
Concordia College-New York,0,2018,2018-0,1616,22624,274421,274421
Cornell University,1165,2018,2018-1165,11268,214099,974135,974135
Corning Community College,0,2018,2018-0,1201,18021,28914,25897
CUNY Bernard M Baruch College,0,2018,2018-0,2696,40437,89432,89432
CUNY Borough of Manhattan Community College,0,2018,2018-0,1786,23215,36465,36465
CUNY Bronx Community College,0,2018,2018-0,1385,22165,36165,36165
CUNY Brooklyn College,0,2018,2018-0,2130,31946,50990,50990
College of Staten Island CUNY,0,2018,2018-0,1993,29902,80635,80635
CUNY City College,0,2018,2018-0,795,13521,115478,113021
CUNY Hostos Community College,0,2018,2018-0,2215,31010,74823,55490
CUNY Hunter College,0,2018,2018-0,1376,23399,55846,55846
CUNY John Jay College of Criminal Justice,0,2018,2018-0,1632,24487,60644,60644
CUNY Kingsborough Community College,0,2018,2018-0,967,14510,24600,24713
CUNY Lehman College,0,2018,2018-0,934,15879,66505,66498
CUNY Medgar Evers College,0,2018,2018-0,2063,33002,54760,54760
CUNY Queens College,0,2018,2018-0,1835,23860,260977,230079
CUNY Queensborough Community College,0,2018,2018-0,1208,18113,29181,29181
